INP_mission_payload_mass_kg,INP_mission_n_payload_units,INP_mission_outbound_range_m,INP_mission_return_range_m,INP_mission_cruise_speed_mps,INP_mission_target_stall_speed_mps,INP_mission_cruise_altitude_density_kgpm3,INP_mission_hover_time_takeoff_s,INP_mission_hover_time_landing_s,INP_mission_transition_time_out_s,INP_mission_transition_time_in_s,INP_mission_attack_or_release_time_s,INP_mission_retry_count,INP_mission_reserve_fraction,INP_mission_usable_battery_fraction,INP_aircraft_mtow_guess_kg,INP_aircraft_margin_fraction,INP_aero_cl_max,INP_aero_cl_cr_target,INP_aero_aspect_ratio,INP_aero_taper_ratio,INP_aero_leading_edge_sweep_deg,INP_aero_dihedral_deg,INP_aero_thickness_to_chord,INP_aero_cd0,INP_aero_oswald_efficiency,INP_aero_dynamic_viscosity_kgpms,INP_vtol_n_lift_rotors,INP_vtol_lift_rotor_diameter_m,INP_vtol_hover_figure_of_merit,INP_vtol_hover_thrust_margin_factor,INP_vtol_vertical_climb_rate_mps,INP_vtol_transition_power_factor,INP_cruise_prop_propulsive_efficiency_cruise,INP_cruise_prop_electrical_efficiency_total,INP_batt_battery_specific_energy_Whpkg,INP_batt_battery_nominal_voltage_V,INP_batt_battery_min_voltage_under_load_V,INP_mass_model_avionics_mass_kg,INP_mass_model_release_mechanism_mass_kg,INP_mass_model_landing_gear_or_skid_mass_kg,INP_mass_model_wiring_misc_mass_kg,INP_mass_model_fuselage_mass_guess_kg,INP_mass_model_wing_areal_density_kgpm2,INP_mass_model_tail_areal_density_kgpm2,INP_mass_model_boom_linear_density_kgpm,INP_mass_model_n_booms,INP_mass_model_boom_length_m,INP_mass_model_motor_specific_power_Wpkg,INP_mass_model_esc_specific_power_Wpkg,INP_mass_model_lift_prop_mass_each_kg,INP_mass_model_cruise_prop_mass_kg,INP_mass_model_tail_volume_coefficient_horizontal,INP_mass_model_tail_volume_coefficient_vertical,INP_mass_model_horizontal_tail_arm_m,INP_mass_model_vertical_tail_arm_m,OUT_converged,OUT_iterations,OUT_mtow_calc_kg,OUT_mtow_error_fraction,OUT_wing_area_stall_req_m2,OUT_wing_area_cruise_req_m2,OUT_wing_area_actual_m2,OUT_wingspan_m,OUT_root_chord_m,OUT_tip_chord_m,OUT_mac_m,OUT_cruise_dynamic_pressure_Pa,OUT_cruise_cl_actual,OUT_cruise_cd_induced,OUT_cruise_cd_total,OUT_cruise_drag_N,OUT_cruise_power_aero_W,OUT_cruise_power_elec_W,OUT_vtol_area_per_rotor_m2,OUT_vtol_total_disk_area_m2,OUT_vtol_disk_loading_Npm2,OUT_hover_induced_velocity_mps,OUT_hover_power_ideal_W,OUT_hover_power_elec_W,OUT_transition_power_elec_W,OUT_attack_power_elec_W,OUT_energy_hover_takeoff_Wh,OUT_energy_hover_landing_Wh,OUT_energy_transition_out_Wh,OUT_energy_transition_in_Wh,OUT_energy_outbound_cruise_Wh,OUT_energy_return_cruise_Wh,OUT_energy_attack_Wh,OUT_energy_retries_Wh,OUT_total_mission_energy_Wh,OUT_required_usable_energy_Wh,OUT_required_nominal_energy_Wh,OUT_battery_mass_kg,OUT_battery_capacity_Ah,OUT_peak_electrical_power_W,OUT_peak_current_A,OUT_battery_c_rate,OUT_wing_mass_kg,OUT_tail_mass_kg,OUT_booms_mass_kg,OUT_lift_motor_mass_kg,OUT_cruise_motor_mass_kg,OUT_esc_mass_kg,OUT_props_mass_kg,OUT_systems_mass_kg,OUT_structure_mass_kg,OUT_margin_mass_kg
4.54,1,15000.0,15000.0,47.0,18.0,1.225,30.0,30.0,15.0,15.0,30.0,1,0.2,0.8,45.0,0.1,1.4,0.5,10.0,0.45,2.0,3.0,0.12,0.045,0.75,1.789e-05,4,0.3,0.65,1.3,3.0,0.85,0.7,0.85,200.0,44.4,38.4,1.5,0.8,0.6,0.7,3.5,3.5,2.5,0.3,2,1.0,5000.0,8000.0,0.1,0.15,0.5,0.04,1.1,1.1,False,0,,0.0,,,,,,,,1353.0125,,,,,,,0.07068583470577035,0.2827433388230814,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.6,,,,0.55,3.5999999999999996,,
4.54,1,15000.0,15000.0,47.0,18.0,1.225,30.0,30.0,15.0,15.0,30.0,1,0.2,0.8,45.0,0.1,1.4,0.5,10.0,0.45,2.0,3.0,0.12,0.045,0.75,1.789e-05,4,0.35,0.65,1.3,3.0,0.85,0.7,0.85,200.0,44.4,38.4,1.5,0.8,0.6,0.7,3.5,3.5,2.5,0.3,2,1.0,5000.0,8000.0,0.1,0.15,0.5,0.04,1.1,1.1,False,80,370.03605293161314,0.2759606815052984,10.239921242231379,4.20536738386252,10.239921242231379,10.11924959778707,1.39575856521201,0.6280913543454045,1.0604556455231475,1353.0125,0.20534178361249433,0.0017895487096957921,0.04678954870969579,648.2570994556379,30468.083674414982,51206.86331834451,0.0962112750161874,0.3848451000647496,7392.473798550337,54.930285310621315,156274.31721433208,282849.442921868,240422.0264835878,51206.86331834451,2357.078691015567,2357.078691015567,1001.7584436816159,1001.7584436816159,4539.615542406428,4539.615542406428,426.7238609862043,3358.837134697183,19582.46634989061,23498.95961986873,29373.69952483591,146.86849762417955,661.5698091179258,282849.442921868,7365.8709094236465,11.133928434921474,35.83972434780983,21.759781595434497,0.6,73.54085515968568,10.241372663668903,35.3561803652335,0.55,3.5999999999999996,61.699505943244326,33.6396411756012
4.54,1,15000.0,15000.0,48.0,18.0,1.225,30.0,30.0,15.0,15.0,30.0,1,0.2,0.8,45.0,0.1,1.4,0.5,10.0,0.45,2.0,3.0,0.12,0.045,0.75,1.789e-05,4,0.2,0.65,1.3,3.0,0.85,0.7,0.85,200.0,44.4,38.4,1.5,0.8,0.6,0.7,3.5,3.5,2.5,0.3,2,1.0,5000.0,8000.0,0.1,0.15,0.5,0.04,1.1,1.1,False,0,,0.0,,,,,,,,1411.2,,,,,,,0.031415926535897934,0.12566370614359174,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.6,,,,0.55,3.5999999999999996,,
4.54,1,15000.0,15000.0,48.0,18.0,1.225,30.0,30.0,15.0,15.0,30.0,1,0.2,0.8,45.0,0.1,1.4,0.5,10.0,0.45,2.0,3.0,0.12,0.045,0.75,1.789e-05,4,0.25,0.65,1.3,3.0,0.85,0.7,0.85,200.0,44.4,38.4,1.5,0.8,0.6,0.7,3.5,3.5,2.5,0.3,2,1.0,5000.0,8000.0,0.1,0.15,0.5,0.04,1.1,1.1,False,0,,0.0,,,,,,,,1411.2,,,,,,,0.04908738521234052,0.19634954084936207,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.6,,,,0.55,3.5999999999999996,,
4.54,1,15000.0,15000.0,48.0,18.0,1.225,30.0,30.0,15.0,15.0,30.0,1,0.2,0.8,45.0,0.1,1.4,0.5,10.0,0.45,2.0,3.0,0.12,0.045,0.75,1.789e-05,4,0.3,0.65,1.3,3.0,0.85,0.7,0.85,200.0,44.4,38.4,1.5,0.8,0.6,0.7,3.5,3.5,2.5,0.3,2,1.0,5000.0,8000.0,0.1,0.15,0.5,0.04,1.1,1.1,False,0,,0.0,,,,,,,,1411.2,,,,,,,0.07068583470577035,0.2827433388230814,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.6,,,,0.55,3.5999999999999996,,
4.54,1,15000.0,15000.0,48.0,18.0,1.225,30.0,30.0,15.0,15.0,30.0,1,0.2,0.8,45.0,0.1,1.4,0.5,10.0,0.45,2.0,3.0,0.12,0.045,0.75,1.789e-05,4,0.35,0.65,1.3,3.0,0.85,0.7,0.85,200.0,44.4,38.4,1.5,0.8,0.6,0.7,3.5,3.5,2.5,0.3,2,1.0,5000.0,8000.0,0.1,0.15,0.5,0.04,1.1,1.1,False,80,5690762899069629.0,22898.17392822503,8774867031.38573,3455103893.6081314,8774867031.38573,296224.0204876325,40858.48558450103,18386.318513025464,31043.056288914002,1411.2,0.196875,0.001645015544613887,0.04664501554461389,577609535374.9764,27725257697998.867,46597071761342.63,0.0962112750161874,0.3848451000647496,6334811868254.841,1607991.75907306,3.920157371455096e+18,7.095307459647232e+18,6.031011340700147e+18,46597071761342.63,5.9127562163726936e+16,5.9127562163726936e+16,2.5129213919583948e+16,2.5129213919583948e+16,4044884701505.4365,4044884701505.4365,388308931344.522,8.425677608331088e+16,2.52778806328267e+17,3.033345675939204e+17,3.7916820949240045e+17,1895841047462002.2,8539824538117127.0,7.095307459647232e+18,1.847736317616467e+17,21.63670119180058,30712034609.85006,545846366460863.06,0.6,1844779939508280.5,9319414352.268526,886913432455904.0,0.55,3.5999999999999996,545877078495477.06,517342081733602.6
4.54,1,15000.0,15000.0,49.0,18.0,1.225,30.0,30.0,15.0,15.0,30.0,1,0.2,0.8,45.0,0.1,1.4,0.5,10.0,0.45,2.0,3.0,0.12,0.045,0.75,1.789e-05,4,0.2,0.65,1.3,3.0,0.85,0.7,0.85,200.0,44.4,38.4,1.5,0.8,0.6,0.7,3.5,3.5,2.5,0.3,2,1.0,5000.0,8000.0,0.1,0.15,0.5,0.04,1.1,1.1,False,0,,0.0,,,,,,,,1470.6125000000002,,,,,,,0.031415926535897934,0.12566370614359174,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.6,,,,0.55,3.5999999999999996,,
4.54,1,15000.0,15000.0,49.0,18.0,1.225,30.0,30.0,15.0,15.0,30.0,1,0.2,0.8,45.0,0.1,1.4,0.5,10.0,0.45,2.0,3.0,0.12,0.045,0.75,1.789e-05,4,0.25,0.65,1.3,3.0,0.85,0.7,0.85,200.0,44.4,38.4,1.5,0.8,0.6,0.7,3.5,3.5,2.5,0.3,2,1.0,5000.0,8000.0,0.1,0.15,0.5,0.04,1.1,1.1,False,0,,0.0,,,,,,,,1470.6125000000002,,,,,,,0.04908738521234052,0.19634954084936207,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.6,,,,0.55,3.5999999999999996,,
4.54,1,15000.0,15000.0,49.0,18.0,1.225,30.0,30.0,15.0,15.0,30.0,1,0.2,0.8,45.0,0.1,1.4,0.5,10.0,0.45,2.0,3.0,0.12,0.045,0.75,1.789e-05,4,0.3,0.65,1.3,3.0,0.85,0.7,0.85,200.0,44.4,38.4,1.5,0.8,0.6,0.7,3.5,3.5,2.5,0.3,2,1.0,5000.0,8000.0,0.1,0.15,0.5,0.04,1.1,1.1,False,0,,0.0,,,,,,,,1470.6125000000002,,,,,,,0.07068583470577035,0.2827433388230814,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.6,,,,0.55,3.5999999999999996,,
4.54,1,15000.0,15000.0,49.0,18.0,1.225,30.0,30.0,15.0,15.0,30.0,1,0.2,0.8,45.0,0.1,1.4,0.5,10.0,0.45,2.0,3.0,0.12,0.045,0.75,1.789e-05,4,0.35,0.65,1.3,3.0,0.85,0.7,0.85,200.0,44.4,38.4,1.5,0.8,0.6,0.7,3.5,3.5,2.5,0.3,2,1.0,5000.0,8000.0,0.1,0.15,0.5,0.04,1.1,1.1,False,0,,0.0,,,,,,,,1470.6125000000002,,,,,,,0.0962112750161874,0.3848451000647496,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.6,,,,0.55,3.5999999999999996,,
